droneId,latitude,longitude,pm25,co2,no2,temperature,humidity
0,24.70633,46.50769,19.6,443.7,29.7,35.4,19.5
0,24.70726,46.50846,18.4,440.9,29.8,35.2,20.9
0,24.70819,46.50922,16.7,443.0,29.3,34.6,19.9
0,24.70912,46.50999,17.5,437.0,29.5,35.0,20.7
0,24.71006,46.51076,20.2,444.1,30.2,35.1,19.7
0,24.71099,46.51152,19.4,430.5,30.7,35.1,19.1
0,24.71192,46.51229,15.4,444.0,27.2,34.7,19.6
0,24.71285,46.51305,18.9,443.3,29.5,35.3,20.3
0,24.71378,46.51382,16.8,440.4,29.0,34.5,19.8
0,24.71472,46.51459,16.9,443.0,28.7,35.4,20.2
0,24.71565,46.51535,18.9,429.7,28.7,35.1,19.9
0,24.71658,46.51612,16.8,440.1,28.2,35.2,19.4
0,24.71751,46.51689,17.4,441.7,29.7,34.9,19.3
0,24.71844,46.51765,17.2,440.3,28.3,35.3,19.0
0,24.71938,46.51842,19.0,443.6,29.7,35.5,19.5
0,24.72031,46.51919,17.1,436.2,28.4,34.8,19.9
0,24.72124,46.51995,17.3,435.7,28.8,34.9,20.7
0,24.72217,46.52072,20.0,431.8,30.8,35.3,20.4
0,24.72310,46.52148,19.8,442.5,30.5,34.7,19.5
0,24.72404,46.52225,16.3,437.1,28.4,34.9,20.8
0,24.72497,46.52302,16.7,432.9,28.1,34.8,20.3
0,24.72590,46.52378,57.9,537.8,28.6,35.0,19.1
0,24.72683,46.52455,55.6,539.9,27.1,35.2,19.9
0,24.72776,46.52532,59.9,539.6,30.0,35.3,20.5
0,24.72870,46.52608,59.5,535.8,29.7,34.7,20.2
0,24.72963,46.52685,59.8,538.0,30.0,35.2,19.8
0,24.73056,46.52762,58.7,536.8,29.2,34.8,20.6
0,24.73149,46.52838,55.4,539.9,27.0,35.1,20.1
0,24.73242,46.52915,58.6,532.6,29.7,34.5,20.1
0,24.73336,46.52991,55.8,537.1,27.0,34.6,19.6
0,24.73429,46.53068,19.0,443.2,30.2,34.7,20.0
0,24.73522,46.53145,18.4,436.2,30.2,35.4,19.1
0,24.73615,46.53221,16.8,442.8,28.0,34.8,20.8
0,24.73708,46.53298,19.0,440.9,28.8,35.2,19.5
0,24.73802,46.53375,19.4,433.7,30.0,34.8,20.2
0,24.73895,46.53451,16.6,432.4,27.8,35.0,20.4
0,24.73988,46.53528,16.2,440.0,27.5,35.2,20.5
0,24.74081,46.53605,17.2,436.8,27.8,34.8,20.4
0,24.74174,46.53681,17.2,437.9,28.1,35.5,19.6
0,24.74268,46.53758,19.8,434.1,29.2,34.7,19.2
0,24.74361,46.53834,17.7,439.4,29.4,34.5,19.5
0,24.74454,46.53911,18.2,437.0,30.0,34.7,19.0
0,24.74547,46.53988,19.7,435.8,28.8,34.7,20.2
0,24.74640,46.54064,15.9,439.0,27.1,35.1,20.5
0,24.74734,46.54141,16.5,443.6,28.6,34.9,19.5
0,24.74827,46.54218,19.8,439.0,30.5,35.3,20.8
0,24.74920,46.54294,19.4,431.4,29.1,34.6,20.3
0,24.75013,46.54371,16.0,443.5,28.1,35.4,20.2
0,24.75106,46.54448,15.7,433.9,27.5,34.8,19.6
0,24.75200,46.54524,18.1,433.5,29.1,34.6,19.4
1,24.71496,46.62097,14.6,407.7,26.6,35.3,19.5
1,24.71412,46.62010,14.6,412.6,26.9,35.5,20.5
1,24.71328,46.61924,10.5,406.4,25.9,34.6,20.4
1,24.71243,46.61838,13.3,406.7,26.1,35.0,19.8
1,24.71159,46.61751,11.2,418.7,26.1,34.5,20.2
1,24.71075,46.61665,12.0,406.6,25.4,34.9,19.9
1,24.70991,46.61578,14.5,420.0,26.6,34.8,19.1
1,24.70907,46.61492,12.7,415.3,25.8,35.0,20.6
1,24.70822,46.61406,15.2,408.4,28.5,35.0,19.6
1,24.70738,46.61319,15.0,414.9,27.4,35.3,20.1
1,24.70654,46.61233,14.5,414.0,27.2,35.0,20.5
1,24.70570,46.61147,12.9,418.0,26.0,35.1,19.7
1,24.70485,46.61060,10.3,407.9,26.1,34.7,20.9
1,24.70401,46.60974,13.0,407.1,26.0,34.7,19.4
1,24.70317,46.60887,13.9,409.8,26.3,35.2,19.5
1,24.70233,46.60801,13.6,406.5,27.2,34.6,19.5
1,24.70148,46.60715,10.3,407.4,26.1,34.8,20.5
1,24.70064,46.60628,12.5,410.4,25.3,35.4,20.9
1,24.69980,46.60542,11.3,412.0,26.0,35.1,19.8
1,24.69896,46.60456,11.0,411.6,26.5,34.5,19.1
1,24.69812,46.60369,13.8,412.0,27.5,35.5,19.9
1,24.69727,46.60283,50.6,513.0,25.2,34.8,20.2
1,24.69643,46.60197,53.4,512.3,25.9,35.4,19.8
1,24.69559,46.60110,53.4,519.9,25.9,34.6,20.3
1,24.69475,46.60024,53.3,518.4,26.3,35.3,19.7
1,24.69390,46.59937,54.2,511.6,27.5,34.9,20.5
1,24.69306,46.59851,51.4,511.4,25.2,35.5,19.4
1,24.69222,46.59765,52.4,509.7,25.7,35.1,19.9
1,24.69138,46.59678,54.9,516.2,26.9,34.6,20.4
1,24.69054,46.59592,50.8,513.1,25.6,35.2,19.8
1,24.68969,46.59506,14.4,405.4,28.0,35.0,19.7
1,24.68885,46.59419,12.8,417.6,26.2,35.4,20.2
1,24.68801,46.59333,12.6,417.8,25.4,34.6,19.5
1,24.68717,46.59246,14.3,411.2,27.6,35.3,20.9
