latitude,longitude,pm25,co2,no2,temperature,humidity
24.7136,46.6753,12.5,410.2,22.1,35.1,20.5
24.7141,46.6758,13.0,412.0,22.4,35.2,20.4
24.7146,46.6763,15.2,415.5,23.0,35.3,20.2
24.7151,46.6768,22.8,425.1,26.5,35.5,20.0
24.7156,46.6773,35.6,440.3,31.2,35.7,19.8
24.7161,46.6778,48.2,460.8,38.5,36.0,19.5
24.7166,46.6783,45.1,455.2,36.1,35.9,19.6
24.7171,46.6788,32.4,435.0,29.8,35.6,19.9
24.7176,46.6793,20.1,422.4,25.4,35.4,20.1
24.7181,46.6798,14.5,414.1,23.2,35.2,20.3
24.7186,46.6803,12.8,411.5,22.5,35.1,20.5
